,participant_number,age,gender,condition,menu_order,selection_time,correctly_predicted,error_in_trial
0,0,Select an option,Select an option,ephemeral,1,4557,False,False
1,0,Select an option,Select an option,ephemeral,1,3586,True,False
2,0,Select an option,Select an option,ephemeral,1,2542,True,False
3,0,Select an option,Select an option,ephemeral,1,3619,False,False
4,0,Select an option,Select an option,ephemeral,1,3016,True,False
5,0,Select an option,Select an option,ephemeral,1,954,True,False
6,0,Select an option,Select an option,control,1,3739,False,False
7,0,Select an option,Select an option,control,1,1990,True,False
8,0,Select an option,Select an option,control,1,2592,True,False
9,0,Select an option,Select an option,control,1,843,False,False
10,0,Select an option,Select an option,control,1,4061,True,False
11,0,Select an option,Select an option,control,1,2514,True,False
