participant_number,age,gender,menu_order,overall_preference,overall_easy,control_satisfaction,control_difficulty,control_frustration,control_efficiency,ephemeral_satisfaction,ephemeral_difficulty,ephemeral_frustration,ephemeral_efficiency
0,26-30,Male,0,Second two,Second two,4,7,2,4,4,7,2,4
1,21-25,Female,0,Second two,Second two,5,7,3,5,5,7,3,6
2,21-25,Male,1,First two,First two,5,6,6,5,6,6,6,5
3,26-30,Female,1,Second two,Second two,7,6,1,6,7,6,1,6
4,21-25,Other,1,First two,First two,6,5,1,5,5,7,1,6
5,31-35,Male,1,First two,First two,4,3,3,5,4,7,6,3
6,26-30,Male,0,First two,First two,5,6,5,6,5,5,4,5
7,21-25,Male,0,Second two,Second two,6,7,3,5,6,7,3,6
8,31-35,Prefer not to say,1,First two,First two,3,2,2,2,2,3,2,3
9,21-25,Female,1,First two,First two,6,7,6,6,6,7,6,6
10,26-30,Male,1,Second two,Second two,6,7,6,6,6,7,6,6
11,21-25,Male,1,Second two,Second two,7,7,3,3,7,6,4,5
13,31-35,Male,1,First two,First two,7,7,5,4,7,7,5,4
14,31-35,Male,0,Second two,Second two,7,7,1,7,7,7,1,7
15,21-25,Male,0,First two,First two,4,5,2,3,3,4,2,3
16,21-25,Female,0,First two,First two,7,6,4,6,6,6,4,6
17,21-25,Female,1,First two,First two,3,1,1,1,5,7,6,7
18,26-30,Male,1,Second two,Second two,5,5,4,5,3,5,1,3
19,31-35,Female,1,First two,First two,6,5,2,5,6,5,2,5
20,21-25,Male,1,First two,First two,7,7,2,5,7,7,3,5
21,21-25,Female,1,First two,First two,6,7,3,6,5,7,4,6
22,50>,Female,0,First two,First two,5,5,6,5,4,5,4,5
23,21-25,Male,0,Second two,Second two,6,6,5,5,6,6,4,6
24,50>,Male,0,First two,First two,5,5,6,5,4,5,5,5
